,Trade Qty,Avg_Cost
0,1.0,0.5239234449760766
1,2.0,0.5157894736842106
2,3.0,0.5094339622641509
3,4.0,0.51
4,5.0,0.5523809523809524
5,6.0,0.5217391304347826
6,7.0,0.5625
7,8.0,0.5
8,9.0,0.5
9,10.0,0.5
10,11.0,0.5818181818181818
11,12.0,0.5
12,13.0,0.5
13,14.0,0.9285714285714286
14,15.0,0.5
15,16.0,0.5
16,17.0,0.5
17,18.0,0.5
18,19.0,0.5
19,20.0,0.5
20,21.0,0.5
21,22.0,0.9545454545454546
22,23.0,0.5
23,25.0,0.5
24,27.0,0.5
25,28.0,0.5
26,29.0,0.5
27,30.0,0.5
28,32.0,0.5
29,40.0,0.5
30,41.0,0.5
31,43.0,0.5
32,49.0,0.5
33,51.0,0.5
34,60.0,0.5
35,62.0,0.5806451612903226
36,68.0,1.0
37,106.0,1.5377358490566038
