,Trade Qty,Avg_Cost
0,1.0,5.032467532467533
1,2.0,5.004088307440719
2,3.0,5.082304526748971
3,4.0,5.019430051813472
4,5.0,5.056818181818182
5,6.0,5.0
6,7.0,5.162337662337663
7,8.0,5.153061224489796
8,9.0,5.098765432098766
9,10.0,5.1940298507462686
10,11.0,5.0
11,12.0,5.143678160919541
12,13.0,5.0
13,14.0,5.0
14,15.0,5.27027027027027
15,16.0,5.213815789473684
16,17.0,5.504201680672269
17,18.0,5.0
18,19.0,5.0
19,20.0,5.0
20,21.0,5.0
21,22.0,5.0
22,23.0,5.0
23,24.0,5.384615384615385
24,25.0,5.384615384615385
25,26.0,5.9375
26,27.0,5.0
27,28.0,5.0
28,29.0,5.0
29,30.0,5.6190476190476195
30,31.0,6.0
31,32.0,5.0
32,33.0,5.0
33,34.0,8.235294117647058
34,35.0,5.0
35,36.0,5.0
36,37.0,8.513513513513512
37,38.0,6.666666666666667
38,39.0,5.615384615384615
39,40.0,5.0
40,41.0,6.524390243902439
41,42.0,5.0
42,45.0,5.0
43,46.0,5.0
44,47.0,15.0
45,48.0,5.0
46,51.0,5.0
47,52.0,5.0
48,53.0,5.0
49,55.0,5.0
50,56.0,9.285714285714286
51,58.0,5.0
52,59.0,10.0
53,62.0,11.612903225806452
54,64.0,15.0
55,68.0,5.0
56,92.0,5.0
57,104.0,5.0
58,121.0,15.0
59,133.0,9.436090225563909
